"filename", "language", "PowerShell", "TypeScript", "Markdown", "MS SQL", "JSON with Comments", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-brand-column.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 4, 11
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-purchase-order-bill-images.sql", "MS SQL", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-purchase-order-enhancements.sql", "MS SQL", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 24, 21, 159
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-purchase-order-notifications.sql", "MS SQL", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 6, 19, 135
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-purchase-order-vendor-details.sql", "MS SQL", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 4, 16
"c:\Users\HP\Downloads\Main_Dashboard\scripts\backfill-purchase-order-stage-notifications.sql", "MS SQL", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 2, 2, 60
"c:\Users\HP\Downloads\Main_Dashboard\scripts\business-excellence-relational-indexes.sql", "MS SQL", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 22, 66
"c:\Users\HP\Downloads\Main_Dashboard\scripts\create-admin-user.sql", "MS SQL", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 6, 38
"c:\Users\HP\Downloads\Main_Dashboard\scripts\create-admin-user.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 103
"c:\Users\HP\Downloads\Main_Dashboard\scripts\create-purchase-orders-table.sql", "MS SQL", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 24, 29, 209
"c:\Users\HP\Downloads\Main_Dashboard\scripts\create-settings-table.sql", "MS SQL", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 3, 31
"c:\Users\HP\Downloads\Main_Dashboard\scripts\dashboard-performance-optimization.sql", "MS SQL", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 8, 23, 110
"c:\Users\HP\Downloads\Main_Dashboard\scripts\fix-notification-timestamps.sql", "MS SQL", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 5, 24
